what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716269687930
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1716269688005
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1716269702231
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.cPerspective",1716269706941
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716269706943
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716269706948
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716269706954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1716269707012
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1716269707012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269717793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269748810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269750585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269756386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269757469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269846292
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716269848003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1716269848984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269851052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269854872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269867054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269951415
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716269955494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716269958731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270257774
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1716270259869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270262950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270280046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270283058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270285299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270291210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270302499
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716270306280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270331172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270345977
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1716270347453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270348979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270352498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270358517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270392376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270400461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270431896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270435156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270693230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270789737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270868929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270883889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270887425
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1716270887808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270889655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270891657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270897216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270913288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270915908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270918238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270921039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270932322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270937279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270938923
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1716270939235
error,log,,,"Unable to validate connection settings.",1716270946611
error,log,,,"Unable to validate connection settings.",1716270946617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270946666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270953775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270955086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270959778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270962969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270964026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270967797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270969234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270975644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270975736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270977532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270981534
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1716270981556
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716270983764
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716270984051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270991378
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716270991436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716270992828
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.debugPerspective",1716270992907
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716270992917
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1716270992922
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1716270996514
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1716270996575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716271012138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716271013643
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1716271027002
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.cPerspective",1716271029241
