what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1718041322023
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1718041322024
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1718041322025
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1718041322026
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1718041322027
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1718041322028
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1718041322028
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1718041322029
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1718041322030
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1718041322031
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1718041322031
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1718041322032
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1718041322032
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1718041322033
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1718041322034
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1718041322034
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1718041322035
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1718041322036
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1718041322036
os,sysinfo,,,"win32",1718041322038
arch,sysinfo,,,"x86",1718041322038
ws,sysinfo,,,"win32",1718041322038
locale,sysinfo,,,"en_US",1718041322038
processors,sysinfo,,,"8",1718041322038
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1718041322038
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1718041322038
java.specification.name,sysinfo,,,"Java Platform API Specification",1718041322038
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1718041322038
java.specification.version,sysinfo,,,"1.6",1718041322038
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1718041322038
java.version,sysinfo,,,"1.6.0_23",1718041322038
java.vm.info,sysinfo,,,"mixed mode",1718041322038
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1718041322038
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1718041322038
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1718041322038
java.vm.specification.version,sysinfo,,,"1.0",1718041322038
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1718041322038
